word,count
비교,1
감안,1
활어회,1
무장,1
안도,1
비갑,1
경관,1
층뷰,1
그림,1
달라,1
초라하다,1
창문,1
남미,1
상한,1
괜춘네,1
장기간,1
개월,1
방어,1
로사,1
용하다,1
황돔,1
광어,1
마안,1
아마,1
이벤트,1
얼굴,1
도전,1
최애,1
최선,1
뉘앙스,1
최소,1
빠르다,1
만족도,1
큰일,1
부드러움,1
동시,1
행복,1
좀더,1
쥑입니,1
다양성,1
평범,1
무난,1
풍경,1
네,1
일로,1
쫄깃해,1
달,1
꽤,1
더욱이,1
진짜진짜,1
너,1
쭉쭉,1
빼,1
친정엄마,1
테블,1
큰소리,1
정신,1
짜증나다,1
유지,1
부족,1
먹거리,1
어디,1
입장,1
셧,1
아부지,1
즈음,1
시작,1
위안,1
아프다,1
벌써,1
커플,1
카,1
때깔,1
미치다,1
다행하다,1
시간대,1
쥬셨,1
끝,1
홀쭉이,1
권,1
택시,1
무우,1
예민하다,1
볼살,1
헤헤,1
헤,1
어정쩡하다,1
상하,1
정성스럽다,1
최악,1
절반,1
고추,1
가루,1
물탄,1
시마,1
똥,1
젓갈,1
너무하다,1
자리돔,1
요구,1
애매하다,1
당시,1
상호,1
초과,1
지은,1
심,1
듬,1
정성껏,1
된거,1
참고,1
파킹,1
느데,1
푸른,1
거부,1
산지,1
나왓습니,1
연하다,1
미락입니,1
이면,1
양호,1
녹,1
장도,1
친ㅤㅈㅓㄽ나시,1
싱선함,1
잔치,1
명가,1
느므느므,1
밤잠,1
설치다,1
성과,1
얼음,1
홍,1
마다,1
물,1
수돗물,1
신건,1
제외,1
전화,1
술안주,1
낚,1
프로,1
해안동,1
멀다,1
음식재료,1
첫날,1
한치,1
엄청꼬시,1
전복장,1
회중,1
깜밖,1
이자,1
단점,1
레시,1
주로,1
먹음,1
해산,1
따로따로,1
홍합,1
끝장,1
극구,1
야들야들,1
꼬들꼬들,1
스럽다,1
부속,1
충실하다,1
왜그ㅤㄹㅔㅆ는,1
리코스,1
간식,1
진리,1
혼술,1
약간,1
조해,1
리,1
기원,1
청결,1
삼박자,1
오신,1
개강,1
박,1
끝판,1
부탄가스,1
발레파킹,1
맛깔나다,1
갑자기,1
젖,1
낮다,1
오래되다,1
먹엇습니,1
혹시,1
계산,1
를,1
세상,1
포기,1
국물,1
칼칼하다,1
가락,1
회전,1
바빳어,1
미역,1
해주,1
샤,1
그뤠잇,1
중앙,1
일주일,1
맛보기,1
동네,1
돼지고기,1
율,1
쯔끼다시,1
순서,1
치즈,1
구문쟁이,1
적도,1
뭐합,1
첨부,1
본회,1
무뚝뚝하다,1
엉엉,1
작고,1
부실하다,1
개구,1
마요네즈,1
두고두고,1
저렴하다,1
부위,1
움,1
임,1
여자명,1
온갖,1
중간,1
미남,1
납득,1
동반,1
자연,1
톡톡하다,1
탐사,1
이중,1
특코스,1
데,1
스테이크,1
야채,1
기고,1
무도,1
재탕,1
검사,1
텁텁함,1
모로,1
다담,1
한마디,1
어쩐지,1
이전,1
기함,1
의의,1
한가지,1
키,1
워드,1
단,1
파지,1
사전예약,1
분도,1
약제,1
차지,1
서드르,1
고,1
이사,1
통제,1
몰상식,1
깜짝,1
더더,1
관람,1
박물관,1
서복,1
일찍,1
운,1
주차발렛,1
정이,1
고프다,1
조미료,1
다양,1
유,1
시각,1
높다,1
만족감,1
글쎄,1
도도,1
인석,1
얼추,1
점도,1
공기밥,1
이구,1
필요없다,1
로나,1
투,1
불편하다,1
할마,1
기준,1
이제,1
로,1
비슷하다,1
사발,1
이동,1
상황,1
옆쪽,1
과,1
이신,1
