사업장명,식당id,업종구분소분류,상세영업상태명,소재지전체주소,도로명전체주소,도로명우편번호,시도,시도_시군구,시군구,시도_시군구_읍면동,읍면동,시도코드,시군구코드,읍면동코드
족발신선생제주점,1076444290,한식,영업,제주특별자치도 제주시 연동 290-87 외1필지(290-55),"제주특별자치도 제주시 신대로8길 30, 1층 (연동)",63118.0,제주특별자치도,제주특별자치도 제주시,제주시,제주특별자치도 제주시 연동,연동,5000000000,5011000000,5011013700
인생과삶,16842544,까페,영업,제주특별자치도 제주시 연동 256번지,"제주특별자치도 제주시 신광로10길 29, 지하1층 (연동)",63137.0,제주특별자치도,제주특별자치도 제주시,제주시,제주특별자치도 제주시 연동,연동,5000000000,5011000000,5011013700
노형섬마을,32162494,한식,영업,제주특별자치도 제주시 연동 256-8번지,제주특별자치도 제주시 신광로10길 17 (연동),63137.0,제주특별자치도,제주특별자치도 제주시,제주시,제주특별자치도 제주시 연동,연동,5000000000,5011000000,5011013700
닭가대표연동점,1952002921,한식,영업,제주특별자치도 제주시 연동 293-58,제주특별자치도 제주시 은남3길 1 (연동),63123.0,제주특별자치도,제주특별자치도 제주시,제주시,제주특별자치도 제주시 연동,연동,5000000000,5011000000,5011013700
화룡양꼬치,36371331,식육(숯불구이),영업,제주특별자치도 제주시 연동 283-8번지,제주특별자치도 제주시 신대로16길 40 (연동),63123.0,제주특별자치도,제주특별자치도 제주시,제주시,제주특별자치도 제주시 연동,연동,5000000000,5011000000,5011013700
오월수산장어집,16834481,한식,영업,제주특별자치도 제주시 연동 282-27,제주특별자치도 제주시 신대로12길 35 (연동),63124.0,제주특별자치도,제주특별자치도 제주시,제주시,제주특별자치도 제주시 연동,연동,5000000000,5011000000,5011013700
독도는우리땅,31502623,한식,영업,제주특별자치도 제주시 연동 293-59번지,제주특별자치도 제주시 은남길 30 (연동),63123.0,제주특별자치도,제주특별자치도 제주시,제주시,제주특별자치도 제주시 연동,연동,5000000000,5011000000,5011013700
나니와,16839890,호프/통닭,영업,제주특별자치도 제주시 연동 252-40번지,제주특별자치도 제주시 연동3길 36 (연동),63131.0,제주특별자치도,제주특별자치도 제주시,제주시,제주특별자치도 제주시 연동,연동,5000000000,5011000000,5011013700
돈앤삼겹,1700151334,식육(숯불구이),영업,제주특별자치도 제주시 연동 1953-11번지,제주특별자치도 제주시 남녕로6길 3 (연동),63128.0,제주특별자치도,제주특별자치도 제주시,제주시,제주특별자치도 제주시 연동,연동,5000000000,5011000000,5011013700
삼무삼계탕,35480021,한식,영업,제주특별자치도 제주시 연동 271-2번지,제주특별자치도 제주시 신대로10길 55 (연동),63125.0,제주특별자치도,제주특별자치도 제주시,제주시,제주특별자치도 제주시 연동,연동,5000000000,5011000000,5011013700
청호정,37114151,한식,영업,제주특별자치도 제주시 연동 291-119,제주특별자치도 제주시 신대로10길 10 (연동),63125.0,제주특별자치도,제주특별자치도 제주시,제주시,제주특별자치도 제주시 연동,연동,5000000000,5011000000,5011013700
로당연동점,16835467,호프/통닭,영업,제주특별자치도 제주시 연동 273-53번지,"제주특별자치도 제주시 신대로16길 47, 1층 (연동)",63123.0,제주특별자치도,제주특별자치도 제주시,제주시,제주특별자치도 제주시 연동,연동,5000000000,5011000000,5011013700
비비큐신제주연동점,11799552,통닭(치킨),영업,제주특별자치도 제주시 연동 285-9번지,"제주특별자치도 제주시 신대로20길 34, 1층 (연동)",63133.0,제주특별자치도,제주특별자치도 제주시,제주시,제주특별자치도 제주시 연동,연동,5000000000,5011000000,5011013700
