사업장명,도로명전체주소
장미카페,"제주특별자치도 제주시 중앙로 81, 1층 (이도일동)"
바코드,"제주특별자치도 제주시 삼무로3길 26, 지하1층 (연동)"
해피데이,제주특별자치도 제주시 천수로 39 (일도이동)
짬뽕에취한날,제주특별자치도 제주시 귀아랑2길 4 (연동)
방가네,제주특별자치도 제주시 광양13길 18 (이도이동)
굴렁쇠,제주특별자치도 제주시 탑동로13길 47 (삼도이동)
대게와킹크랩돌꼬망쭌포차,제주특별자치도 제주시 오복6길 5 (이도이동)
하노이안브라더스,제주특별자치도 제주시 천수동로 1 (건입동)
황궁쟁반행복반점,제주특별자치도 제주시 절물3길 24 (외도일동)
착한집,제주특별자치도 제주시 서광로 98 (오라삼동)
클럽하우스그릴,"제주특별자치도 제주시 명림로 575-107, 한화리조트 (회천동)"
클럽하우스그릴그늘집,"제주특별자치도 제주시 명림로 575-107, 한화리조트 (회천동)"
흑마가든,제주특별자치도 제주시 연화로2길 20-1 (연동)
교촌치킨탑동점,제주특별자치도 제주시 탑동로 21 (삼도이동)
고래냉삼,제주특별자치도 제주시 우령2길 29-5 (외도일동)
어머니와고등어본점,
야미부대찌게하귀점,"제주특별자치도 제주시 애월읍 하귀동남3길 7, 1층"
연동한라국시,제주특별자치도 제주시 신대로18길 41 (연동)
삼화올레국수,제주특별자치도 제주시 화삼로 9 (화북일동)
동네,제주특별자치도 제주시 남광로2길 7-9 (이도이동)
좋은동네,"제주특별자치도 제주시 한림읍 한림로8길 3, 2층"
홀케만수식당,제주특별자치도 제주시 서해안로 301-9 (도두이동)
라임블루,제주특별자치도 제주시 구좌읍 해맞이해안로 476 (에이동)
고객식당,"제주특별자치도 제주시 오현길 78-6, 1층 (이도일동)"
맛있는소리도련점,"제주특별자치도 제주시 삼봉로 150, 1층 (도련일동)"
아일랜드,"제주특별자치도 제주시 동광로4길 9-4, 2층 (이도이동)"
하도1940,"제주특별자치도 제주시 구좌읍 해맞이해안로 1681-3, 1층"
삼춘네바당뜰,제주특별자치도 제주시 한림읍 한림해안로 149
불닭공장함덕점,제주특별자치도 제주시 조천읍 함덕13길 2
술,제주특별자치도 제주시 동광로 88 (이도이동)
씨티호텔구내,"제주특별자치도 제주시 신대로 170 (연동,(신대로132))"
부산돼지국밥,제주특별자치도 제주시 신산로 29-1 (일도이동)
육장갈비제주본점,제주특별자치도 제주시 승천로 2 (이도이동)
오고정포차,제주특별자치도 제주시 서광로 248 (삼도일동)
방일해장국제주본점,"제주특별자치도 제주시 월광로 163, 1층 (노형동)"
행복한엄마밥상,"제주특별자치도 제주시 한림읍 한림로 682, 1층"
남문숯불바베큐앤치킨신촌점,제주특별자치도 제주시 조천읍 신촌3길 7
대구불노리왕막창아라점,제주특별자치도 제주시 산천단동2길 지하 15 (아라일동)
길리,"제주특별자치도 제주시 구좌읍 월정1길 65, 1층"
하나니꾸,제주특별자치도 제주시 구남동2길 51 (이도이동)
곰표반점도련점,"제주특별자치도 제주시 삼봉로 47, 1층 (도련이동)"
마음챙김,제주특별자치도 제주시 구좌읍 하도3길 103
파람,제주특별자치도 제주시 한경면 한경해안로 470
텅꼬치구이도남점,"제주특별자치도 제주시 도남로 12 (삼도일동,지상1층)"
슬이네찌개마을본점,제주특별자치도 제주시 우정로16길 16 (외도일동)
전파사,제주특별자치도 제주시 조천읍 조함해안로 221
유행,제주특별자치도 제주시 신대로10길 32 (연동)
하귀청마루,제주특별자치도 제주시 애월읍 항몽로 71-1
아라숯불갈비,제주특별자치도 제주시 중앙로 555 (아라일동)
김창민씨네식당외도점,"제주특별자치도 제주시 우정로18길 12, 1층 (외도일동)"
김삿갓도쉬어간주막,"제주특별자치도 제주시 월랑로4길 31, 지하층 (노형동)"
순희밥상,제주특별자치도 제주시 구좌읍 종달로5길 38
애월튀김간,제주특별자치도 제주시 애월읍 애월로 118
만사오케이,"제주특별자치도 제주시 전농로 81, 1층 (삼도이동)"
바다위에코끼리,"제주특별자치도 제주시 한림읍 협재1길 27-6, 1층"
잇칸시타,"제주특별자치도 제주시 애월읍 신엄안2길 54-1, 1동 1층"
잠녀해녀촌,제주특별자치도 제주시 조천읍 조함해안로 410
애월성,제주특별자치도 제주시 애월읍 애월로7길 2
수르르,"제주특별자치도 제주시 한림읍 금능5길 26, 1층"
비에이치씨신제주점,제주특별자치도 제주시 원노형남1길 23 (노형동)
주민상회신제주점,제주특별자치도 제주시 원노형6길 31 (노형동)
(주)블랙스톤리조트호텔레스토랑,"제주특별자치도 제주시 한림읍 한창로 925-122, 블랙스톤CC"
마중물,"제주특별자치도 제주시 서사로 62-3, 1층 (삼도일동)"
월계,"제주특별자치도 제주시 월평1길 8 (월평동,(월평1로 47))"
젬마손,"제주특별자치도 제주시 진동로 3, 101호 (화북일동,건하주택)"
국수장터,제주특별자치도 제주시 동광로 50-1 (이도이동)
대패도,제주특별자치도 제주시 중앙로 601 (아라일동)
황금섬숯불갈비,제주특별자치도 제주시 추자면 추자로 36
정든공간,제주특별자치도 제주시 도남로 11 (도남동)
해어랑,제주특별자치도 제주시 조천읍 조함해안로 525 (이동)
스마일식당,제주특별자치도 제주시 중앙로11길 8 (이도일동)
바다풍경,제주특별자치도 제주시 서해안로 654 (용담삼동)
제주지방검찰청구내,제주특별자치도 제주시 남광북5길 3 (이도이동)
아침하늘,제주특별자치도 제주시 조천읍 조와로 5
우리아시가게글라,제주특별자치도 제주시 연동10길 7 (연동)
행복미가,제주특별자치도 제주시 구남동5길 지하 12 (이도이동)
명인장어통일,제주특별자치도 제주시 평전길 4 (삼도일동)
일억조,제주특별자치도 제주시 한림읍 한림상로 140
해피하우스,"제주특별자치도 제주시 용화로 35 (용담이동,진영빌라102호(용화로48))"
일맥샤브,제주특별자치도 제주시 중앙로14길 40-8 (삼도이동)
놀당가주,"제주특별자치도 제주시 중앙로24길 7, 2층 (삼도이동)"
쩐포차,"제주특별자치도 제주시 중앙로 22, 지하1층 (건입동)"
세이ㅤㅅㅠㄴ칠성로점,"제주특별자치도 제주시 관덕로11길 35, 2층 (건입동)"
본죽앤비빔밥아라점,"제주특별자치도 제주시 아란9길 6, 1층 (아라일동)"
얼얼이불막창,"제주특별자치도 제주시 건주로4길 26, 1층 (도련일동)"
24시얼큰시원생고기김치찌개외도점,"제주특별자치도 제주시 우정로 85, 1층 (외도일동)"
카페더폴로,"제주특별자치도 제주시 구좌읍 월행남길 322-30, 2층 13-14호"
월랑다호,"제주특별자치도 제주시 월랑로6길 32, 1층 (노형동)"
도남황금,제주특별자치도 제주시 신성로 98 (도남동)
해와달삼계탕,제주특별자치도 제주시 고마로15길 5 (일도이동)
삼다숲길가든,제주특별자치도 제주시 조천읍 남조로 1712
돈떵이서부두점,"제주특별자치도 제주시 서부두길 26 (건입동, 제2호)"
두맹이갈비,제주특별자치도 제주시 동문로16길 13 (일도이동)
신미국밥,제주특별자치도 제주시 구좌읍 김녕로 108
제주돈,제주특별자치도 제주시 연신로 83 (이도이동)
추자수협회센타,제주특별자치도 제주시 추자면 추자로 1 (제1호)
청해회센타,"제주특별자치도 제주시 신대로10길 28-1, 1층 (연동)"
바다양푼이동태탕외도점,"제주특별자치도 제주시 우령6길 77, 101호 (외도일동, 한영빌딩)"
신시골뚝배기,"제주특별자치도 제주시 선반로 19 (화북일동, 외3필지)"
제주밥상,제주특별자치도 제주시 사장3길 27 (연동)
유티에스가든,
한나소주호프,제주특별자치도 제주시 중앙로 23 (건입동)
손사장네행복하소,"제주특별자치도 제주시 연북로 74, 1층 (연동)"
마라신화노형점,"제주특별자치도 제주시 오광로 189, 1층 (노형동)"
옆구리터진올레김밥,제주특별자치도 제주시 공설로 5 (삼도일동)
오니기리와이규동일도점,제주특별자치도 제주시 고마로 98-1 (일도이동)
보물선,제주특별자치도 제주시 동한두기길 27 (용담일동)
아망딘테이블,제주특별자치도 제주시 애월읍 애월로 120
기쁨이네촌칼국수앤드보리밥3호점,제주특별자치도 제주시 조천읍 신북로 527-1
물꼬기회포차,제주특별자치도 제주시 고마로 31 (일도이동)
바다제비,"제주특별자치도 제주시 한림읍 한림로 640, 1층"
오프너,"제주특별자치도 제주시 광양10길 23, 2층 (이도이동)"
낙원,"제주특별자치도 제주시 서광로32길 18, 2층 (이도이동)"
레인보우치킨,"제주특별자치도 제주시 조천읍 중산간동로 814, 1층"
마담나탈리소셜클럽,"제주특별자치도 제주시 한림읍 옹포2길 10, 1층"
용담포차,제주특별자치도 제주시 흥운길 11 (용담이동)
청진동해물탕함덕점,제주특별자치도 제주시 조천읍 함덕20길 19 (제1호)
금능낙원,제주특별자치도 제주시 한림읍 금능길 27
부가네얼큰이삼양점,제주특별자치도 제주시 일주동로 390-1 (삼양이동)
천원,"제주특별자치도 제주시 관덕로8길 22 (삼도이동,(남문로 42))"
용해로,"제주특별자치도 제주시 용해로 108 (용담이동,(용해로 110))"
칼맞은삼겹살노형점,"제주특별자치도 제주시 원노형로 52, 1층 (노형동)"
명주,"제주특별자치도 제주시 동문로14길 14, 1층 (일도이동)"
유월그리고열두마루,제주특별자치도 제주시 구좌읍 한동로1길 38
에스-중앙병원장례식장식당,제주특별자치도 제주시 월랑로 91 (이호이동)
오늘은좋은날,제주특별자치도 제주시 우령8길 17 (외도일동)
빨간맛집한림점,제주특별자치도 제주시 한림읍 한림중앙로 23
소노벨제주해난디,"제주특별자치도 제주시 조천읍 신북로 577, 본관동 B302호"
금관,"제주특별자치도 제주시 탑동로 114 (용담일동,외1필지 제101호)"
통통시장,"제주특별자치도 제주시 연삼로 541 (일도이동,(연삼로589))"
요기소바외도점,"제주특별자치도 제주시 우령안1길 29, 1층 (외도일동)"
우리들식당,"제주특별자치도 제주시 애월읍 녹근로 9, 1층"
빌레마루,"제주특별자치도 제주시 조천읍 함대로 46-1, 1~2층"
교래퐁낭,"제주특별자치도 제주시 조천읍 남조로 1773, 1층"
달빛제주,"제주특별자치도 제주시 애월읍 애월해안로 929, 가동 2층"
파뷔노파스타바,"제주특별자치도 제주시 신성로12길 2, 1층 (이도이동)"
치킨마차,"제주특별자치도 제주시 동광로1길 30, 1층 (이도일동)"
신반점,"제주특별자치도 제주시 오복1길 8, 1층 (이도이동)"
차귀놀,"제주특별자치도 제주시 한경면 한경해안로 136, 1층"
바당지기동복점,"제주특별자치도 제주시 구좌읍 일주동로 1754, 1층"
짱저팔계깡통구이제주선흘점,
맘스터치제주한림점,"제주특별자치도 제주시 한림읍 명랑로 2, 1층"
감나무집,"제주특별자치도 제주시 오남로 12, 1층 1호 (오라일동)"
해성도뚜리,제주특별자치도 제주시 애월읍 애월해안로 682
루스트플레이스베라체점,제주특별자치도 제주시 승천로 73 (아라이동)
곰,제주특별자치도 제주시 복지로3길 1-4 (도남동)
얼큰이,제주특별자치도 제주시 지석6길 4 (삼양이동)
제주순풍신제주본점,"제주특별자치도 제주시 진군남4길 7-8, 1층 제1호 (노형동)"
세은,"제주특별자치도 제주시 연수로3길 13 (일도이동,(신천2로34))"
더레드,제주특별자치도 제주시 동광로6길 10 (이도이동)
제주스테이식당,"제주특별자치도 제주시 무근성7길 22, 지하1층 (삼도이동)"
먹주,"제주특별자치도 제주시 신성로13길 1, 2층 (이도이동)"
풍차와전복,"제주특별자치도 제주시 한경면 두모5길 59, 1층"
큰맘할매순대국조천점,"제주특별자치도 제주시 조천읍 신북로 68, 103,104호"
오르방,"제주특별자치도 제주시 신광로8길 14, 1층 (연동)"
타코밤,"제주특별자치도 제주시 우도면 우도해안길 780-2, 1층"
빽풍,제주특별자치도 제주시 연삼로 448 (이도이동)
막썰어회포장,제주특별자치도 제주시 구좌읍 세평항로 46-12
기쁨이네해물탕앤돌솥밥,제주특별자치도 제주시 조천읍 신북로 527-1
세화포차,"제주특별자치도 제주시 구좌읍 세화4길 4, 1층"
해아름,"제주특별자치도 제주시 가령로 7, 1층 (이도이동)"
써니왕갈비탕,"제주특별자치도 제주시 진남로8길 17-1, 1층 (화북일동)"
소금밭,"제주특별자치도 제주시 구좌읍 종달동길 29-3, 1층"
소담돈까스,"제주특별자치도 제주시 성신로1길 23, 2층 (연동)"
봉봉,"제주특별자치도 제주시 신성로 91, 1층 6호 (도남동)"
화정이네밥과술,"제주특별자치도 제주시 서사로 72, 1층 (삼도일동)"
조가네회세꼬시,"제주특별자치도 제주시 신대로12길 25, 1층 (연동)"
제주코아호텔구내,"제주특별자치도 제주시 신대로 148 (연동,(신대로116))"
제주닭집,제주특별자치도 제주시 조천읍 함덕14길 3
힐링포차,제주특별자치도 제주시 서광로20길 3 (삼도일동)
장미맨숀제주시청점,"제주특별자치도 제주시 신성로13길 5, 2층 (이도이동)"
돈방석탑동점,"제주특별자치도 제주시 조천읍 함덕30길 8, 1층"
리치에버,제주특별자치도 제주시 용화로 41 (용담이동)
오름,제주특별자치도 제주시 조천읍 비자림로 657
내담식당,"제주특별자치도 제주시 우정로10길 4, 1층 (외도일동)"
콩킹부대찌개,제주특별자치도 제주시 제주대학로7길 5-2 (아라이동)
항골,제주특별자치도 제주시 도리로 61 (이호일동)
동화로연탄구이2,제주특별자치도 제주시 국기중길 12 (연동)
우도쉼팡구내,제주특별자치도 제주시 우도면 우도로 7
우쿠야앤올떡한림점,제주특별자치도 제주시 한림읍 한림중앙로 47
바삭돈가스,"제주특별자치도 제주시 과원북4길 61, 103호 (연동)"
제주보말칼국수,제주특별자치도 제주시 관덕로8길 40 (삼도이동)
컵독스커피제주1호점,제주특별자치도 제주시 신성로 71 (도남동)
큰언니네이층집,"제주특별자치도 제주시 도령로 106, 2층 (연동)"
비비큐하귀애월점,"제주특별자치도 제주시 애월읍 애월해안로 991, 1층"
김밥천국신연동점,"제주특별자치도 제주시 국기로 13-1 (연동,(국기로 18))"
홍돈,제주특별자치도 제주시 한림읍 한림로3길 10-12
일학년일반,"제주특별자치도 제주시 신성로 44, 101호 (도남동, 주현빌라)"
송이,제주특별자치도 제주시 애월읍 곽지8길 12-1
퀸,"제주특별자치도 제주시 삼무로3길 46-1, 지하1층 (연동)"
갑도니,"제주특별자치도 제주시 광양14길 14, 1층 (이도이동)"
지씨(GC)오라오름매점,
지씨(GC)오라남매점,
강원도식당,"제주특별자치도 제주시 오일장서길 26, 제 6-31, 6-32호 (도두일동)"
추자바다숯불갈비,제주특별자치도 제주시 추자면 추자로 94-1
이모칼국수,"제주특별자치도 제주시 월랑로4길 15 (노형동, 제2호)"
어애랑,제주특별자치도 제주시 한림읍 한림로 422 (제1호)
외도바르메,제주특별자치도 제주시 우정로 92 (외도일동)
애월차이나,제주특별자치도 제주시 애월읍 신엄안3길 99
디저트테이블,"제주특별자치도 제주시 한림읍 진질길 35, 1층"
조금만천천히,"제주특별자치도 제주시 조천읍 신북로 201, 1층"
캠핑스톤,"제주특별자치도 제주시 우정로16길 30, 1동 1층 (외도일동)"
미쓰신아강발,제주특별자치도 제주시 고마로 131 (일도이동)
오로라닭발,제주특별자치도 제주시 고마로 141 (일도이동)
행복식당,"제주특별자치도 제주시 다랑곶길 23, 1층 (노형동)"
아라미당한우전문점,"제주특별자치도 제주시 아연로 595, 1~2층 (아라일동)"
쪽갈비와친구들이도점,제주특별자치도 제주시 신설로11길 43 (이도이동)
정든마차,제주특별자치도 제주시 동광로1길 27-1 (이도일동)
아우라,"제주특별자치도 제주시 신광로10길 5, 지하층 (연동)"
청수냉면,제주특별자치도 제주시 애월읍 하귀9길 12
쉼표,"제주특별자치도 제주시 한림읍 한림로 359, 1층"
차화술,"제주특별자치도 제주시 신산로 39-2, 2층 (일도이동)"
모리노아루요,"제주특별자치도 제주시 애월읍 하소로 769-58, 아동 1층"
몰돗,"제주특별자치도 제주시 조천읍 함대로 2, 1층"
최고의밥상,제주특별자치도 제주시 서광로29길 36 (이도일동)
호커센터,제주특별자치도 제주시 애월읍 애월로11길 25-2
산우정,"제주특별자치도 제주시 은남4길 29 (연동,(연중7로47))"
집밥드시러오세요,제주특별자치도 제주시 오복4길 36 (이도이동)
불티나왕만두,"제주특별자치도 제주시 중앙로 25 (일도일동,(중앙로9))"
울돌목일도,"제주특별자치도 제주시 천수로 44 (이도이동,(동여중길60))"
한라산해장국,제주특별자치도 제주시 은남길 25 (연동)
노가리앤비어연동3호점,"제주특별자치도 제주시 국기로 5, 1층 (연동)"
북촌자연산횟집,제주특별자치도 제주시 조천읍 북촌13길 24-1
종달빛,제주특별자치도 제주시 도남로 50 (도남동)
하르방밀면공항점,"제주특별자치도 제주시 공설로 53, 1층 (오라일동)"
벨라,"제주특별자치도 제주시 연동9길 25, 2층 (연동)"
옛날홍가네,"제주특별자치도 제주시 전농로 113 (삼도이동,동양타운103호(전농로12))"
돈치비,"제주특별자치도 제주시 원노형2길 29-5, 101호 (노형동)"
돈까스튀기는서대리,제주특별자치도 제주시 연동14길 14 (연동)
오늘해장국,"제주특별자치도 제주시 진동로 5, 101호 (화북일동)"
에덴식당,제주특별자치도 제주시 연수로3길 14 (일도이동)
선봉식당,제주특별자치도 제주시 동고산로 16 (이도이동)
누이,제주특별자치도 제주시 서광로26길 2 (삼도일동)
청노루,
오동통,"제주특별자치도 제주시 신대로20길 28, 101호 (연동)"
바람과언덕,"제주특별자치도 제주시 한경면 노을해안로 1203-4, 1층"
나뭇잎사이로,"제주특별자치도 제주시 신산로 39, 2층 (일도이동)"
제주어멍국수본점,"제주특별자치도 제주시 선덕로3길 28, 1층 (연동)"
맛있는한끼,"제주특별자치도 제주시 광양7길 32, 1층 (이도이동)"
빠삭,"제주특별자치도 제주시 구좌읍 월정3길 53-2, 1층"
도담설렁탕집밥,제주특별자치도 제주시 조천읍 남조로 3042-1
해삼궁,"제주특별자치도 제주시 애월읍 평화로 1976, 1층"
더블유비치제주,"제주특별자치도 제주시 애월읍 일주서로 6083, 1층"
왕왕순대국밥몸국,"제주특별자치도 제주시 무근성7길 20, 1층 (삼도이동)"
성안식당,제주특별자치도 제주시 애월읍 애월로11길 5
경애관,"제주특별자치도 제주시 신대로20길 18 (연동,(사장4로24))"
부가네얼큰이한림점,제주특별자치도 제주시 한림읍 한림중앙로 21
명자네분식,제주특별자치도 제주시 신대로16길 44 (연동)
버거왕만두,"제주특별자치도 제주시 천수로 42, 1층 (이도이동)"
제주오도록,"제주특별자치도 제주시 삼봉로2길 16, 1층 (삼양이동)"
애월등대집,"제주특별자치도 제주시 애월읍 애월해안로 56, 1층"
우도여행,제주특별자치도 제주시 우도면 우도해안길 602
육갑봉,제주특별자치도 제주시 신설로11길 2-9 (아라이동)
영춘식당,"제주특별자치도 제주시 평전길 12, 1층 (삼도일동)"
쉬림프박스제주,"제주특별자치도 제주시 구좌읍 대수길 10-22, 2동 1층"
돈삼겹외도점,"제주특별자치도 제주시 우정로11길 21, 1층 (외도일동)"
노팅힐회정식,"제주특별자치도 제주시 도공로 157, 1층 (도두일동)"
봉자네숙성뼈갈비,"제주특별자치도 제주시 1100로 3228, 비동 1층 (노형동)"
봉자네숙성뼈갈비2,"제주특별자치도 제주시 1100로 3228, 에이동 1층 (노형동)"
주민상회한림점,제주특별자치도 제주시 한림읍 한림중앙로 31
쨍하고회뜰날,제주특별자치도 제주시 신광로10길 18 (연동)
영아네맛집,제주특별자치도 제주시 구좌읍 구좌로 46
울산감포생아구찜,"제주특별자치도 제주시 애월읍 하귀로 82, 1층"
고향숯불막창삼도점,"제주특별자치도 제주시 서사로20길 19, 1층 (삼도일동)"
소길역,"제주특별자치도 제주시 애월읍 소길2길 53, 1층"
우도부릉이,"제주특별자치도 제주시 우도면 우도해안길 480, 1층"
함덕촐래밥상,"제주특별자치도 제주시 조천읍 함대로 57, 1층"
재성,제주특별자치도 제주시 임항로 236 (건입동)
갈래길국수,제주특별자치도 제주시 제원길 14 (연동)
웃뜨르식당,제주특별자치도 제주시 중앙로 281 (이도이동)
홍열이네,"제주특별자치도 제주시 고마로17길 6 (일도이동,(1층))"
완벽한인생,제주특별자치도 제주시 원노형남1길 33 (노형동)
탕탕이2호점,제주특별자치도 제주시 다랑곶1길 15 (노형동)
참스큐도두점,"제주특별자치도 제주시 도공로 10-1 (도두일동,(1층))"
하나공간,"제주특별자치도 제주시 산천단동3길 25 (아라일동,(1층))"
용담 갈비,제주특별자치도 제주시 용화로 36 (용담이동)
엠츄로월정점,"제주특별자치도 제주시 구좌읍 월정3길 53-2, 2층"
우도해녀의집,"제주특별자치도 제주시 우도면 우도해안길 144, 1층"
빨간맛집세화점,"제주특별자치도 제주시 구좌읍 구좌로 46, 1층"
허니닭강정,제주특별자치도 제주시 애월읍 하귀로 39 (가동)
놀맨,제주특별자치도 제주시 애월읍 애월로1길 24
이브,"제주특별자치도 제주시 노연로 43, 5층 (노형동)"
동서지간,제주특별자치도 제주시 사라봉길 1 (건입동)
도담스,제주특별자치도 제주시 연수로 40 (일도이동)
서양식탁,"제주특별자치도 제주시 구남동2길 28, 1층 (이도이동)"
마라사랑,"제주특별자치도 제주시 천수로 82, 103호 (일도이동)"
바이트포엣츠,제주특별자치도 제주시 관덕로8길 30 (삼도이동)
중국집마씸,"제주특별자치도 제주시 한경면 두신로 78, 1층"
고산함지박,제주특별자치도 제주시 한경면 고락로 4
플렉스,"제주특별자치도 제주시 삼무로3길 32, 지하층 (연동)"
제주복돼지,제주특별자치도 제주시 신산로2길 3 (일도일동)
어슬렁포장마차,"제주특별자치도 제주시 신산로8길 1 (일도이동,(신선비1로3))"
제주정,"제주특별자치도 제주시 일주동로 320, 1층 (삼양이동)"
바위소리,"제주특별자치도 제주시 우도면 우도해안길 1112, 1층 제1호"
송이축산정육식당2호점,"제주특별자치도 제주시 달마루길 20-9, 1층 (노형동)"
천하제일장어,제주특별자치도 제주시 고마로 66 (일도이동)
아천쉼팡,제주특별자치도 제주시 공설로9길 12 (오라일동)
비에이치씨치킨노형점,"제주특별자치도 제주시 수덕로 81, 동원빌딩 1층 (노형동)"
홈런,"제주특별자치도 제주시 동광로1길 31, 1층 (이도일동)"
대한식당신시가지점,"제주특별자치도 제주시 국기로 52, 1층 (연동)"
밥밥,"제주특별자치도 제주시 원노형로 3, 1층 (노형동)"
다올정,"제주특별자치도 제주시 동광로16길 34 (이도이동,(1층))"
쌍고동,제주특별자치도 제주시 서광로5길 27 (용담일동)
뽕이네각재기,제주특별자치도 제주시 동광로 150 (일도이동)
물고기세상,
몸생각,제주특별자치도 제주시 지석8길 4 (삼양이동)
윤과장포차,제주특별자치도 제주시 신성로 68 (도남동)
홍어대가,제주특별자치도 제주시 전농로 99-1 (삼도이동)
더블유골프존,"제주특별자치도 제주시 노연로 50, 2층 203호 (노형동, 에코피아)"
한라향,"제주특별자치도 제주시 도남로 104, 107호 (도남동, 백록아파트)"
해월정제주공항점,제주특별자치도 제주시 서해안로 612 (용담삼동)
외도몸국,"제주특별자치도 제주시 우정로 64, 1층 (외도일동)"
빽포,제주특별자치도 제주시 정존11길 43 (노형동)
정담,제주특별자치도 제주시 구남로8길 6 (이도이동)
제주담식당,제주특별자치도 제주시 구좌읍 비자림로 1575
정겨운수제비,"제주특별자치도 제주시 제원1길 23, 105호 (연동)"
고망딱새,제주특별자치도 제주시 서해안로 96 (이호일동)
갈비아빠2,"제주특별자치도 제주시 신대로12길 37-1, 1층 (연동)"
얄개,"제주특별자치도 제주시 연수로1길 2, 2층 (일도이동)"
오니,"제주특별자치도 제주시 연동10길 4, 1층 (연동)"
제주대통,제주특별자치도 제주시 연화로2길 18 (연동)
돈지,제주특별자치도 제주시 동문로10길 2 (일도일동)
술판,"제주특별자치도 제주시 광양14길 1, 2층 (이도이동)"
써니꼬마김밥용담점,제주특별자치도 제주시 용담로 58-1 (용담이동)
추자집,"제주특별자치도 제주시 임항로 51, 1층 (건입동)"
우디아리,"제주특별자치도 제주시 구좌읍 해맞이해안로 480-1, 1~2층 113호"
꼴까닭호프소주,"제주특별자치도 제주시 서광로5길 9, 1층 (용담일동)"
긴자,제주특별자치도 제주시 신광로8길 30-1 (연동)
오라숲소리,제주특별자치도 제주시 오라로 80 (오라이동)
중화루,제주특별자치도 제주시 삼무로 68 (연동)
제주큰물살아있는해물탕,제주특별자치도 제주시 조공포길 49 (외도일동)
천리식당,제주특별자치도 제주시 구좌읍 송당6길 30 (나동)
하늘채,제주특별자치도 제주시 오등14길 4 (오등동)
갤러리호텔비앤비,"제주특별자치도 제주시 삼무로3길 48, 2층 (연동)"
문워크,"제주특별자치도 제주시 신광로 35, 2층 (연동)"
산나루,"제주특별자치도 제주시 애월읍 애월해안로 592, 1~2층"
텍사스하우스,제주특별자치도 제주시 박성내동길 49-1 (아라이동)
사라봉진가네해장국,제주특별자치도 제주시 사라봉길 28 (건입동)
오르막가든,제주특별자치도 제주시 오일장중길 41 (도두일동)
나룻배,"제주특별자치도 제주시 연삼로 543, 1층 (일도이동)"
형제술상,"제주특별자치도 제주시 원노형로 93, 상가동 지하105호 (노형동)"
꼬까삐,"제주특별자치도 제주시 신성로 65 (도남동,(신성로 88))"
교래삼복가든,제주특별자치도 제주시 조천읍 비자림로 653
미듬포장마차,제주특별자치도 제주시 조천읍 신북로 252-1
제주오쿠다,"제주특별자치도 제주시 구남동4길 45, 1층 (이도이동)"
딜라익스프레스신제주점,"제주특별자치도 제주시 성신로1길 21, 1층 (연동)"
마마정식,"제주특별자치도 제주시 한경면 고산로 23, 1층"
우리양,"제주특별자치도 제주시 성신로1길 23, 1층 (연동)"
신의한근,"제주특별자치도 제주시 원당로 44-1, 1층 (삼양일동)"
라마띠네,"제주특별자치도 제주시 중앙로 304, 1층 101호 (이도이동)"
제푸분식,"제주특별자치도 제주시 구좌읍 행원로1길 33, 지하1층"
신춘반점,"제주특별자치도 제주시 진동로5길 30, 1층 (화북일동)"
화리,"제주특별자치도 제주시 감수북길 36, 지하1층 (삼양이동)"
모이세본점,"제주특별자치도 제주시 연북로 221, 1층 (오라이동)"
톡순,"제주특별자치도 제주시 연동7길 30, 5층 (연동)"
천하장사뷔페,"제주특별자치도 제주시 제원1길 23, 2층 102호 (연동, 뉴제원)"
역전할머니맥주외도점,"제주특별자치도 제주시 우령2길 24, 1층 (외도일동)"
피자그리기앤파닭,"제주특별자치도 제주시 애월읍 일주서로 6214, 1층"
스시홍,"제주특별자치도 제주시 도두항서5길 17, 1층 (도두일동)"
임풍해장국,"제주특별자치도 제주시 구좌읍 김녕로 141, B동 101호"
어디가코시청점,제주특별자치도 제주시 서광로32길 23 (이도이동)
어드레감수강,"제주특별자치도 제주시 다랑곶4길 25, 106호 (노형동)"
청보리,"제주특별자치도 제주시 연동4길 29, 105호 (연동)"
모이세,제주특별자치도 제주시 오복2길 31 (이도이동)
듬박이닭발,"제주특별자치도 제주시 연삼로 474 (이도이동,(연삼로494))"
황새,"제주특별자치도 제주시 용화로 35, 1층 101호 (용담이동, 진영빌라)"
인연돼지,"제주특별자치도 제주시 무근성7길 17, 1층 (삼도이동)"
투아일랜드,"제주특별자치도 제주시 흥운길 101, 2층 (용담이동)"
순복이식당,"제주특별자치도 제주시 서문로4길 15 (용담일동, 제1호)"
브이,"제주특별자치도 제주시 노연로 41, 2층 (노형동)"
라쿤하우스,"제주특별자치도 제주시 구좌읍 김녕로17길 22-10, 1층"
카페술도가제주바당,"제주특별자치도 제주시 구좌읍 한동로 27, 1층"
돈사돈2호점,"제주특별자치도 제주시 광평동로 15, 1층 (노형동)"
제주봄날,제주특별자치도 제주시 애월읍 애월로1길 25 (제1호)
공룡고기제주노형점,"제주특별자치도 제주시 과원로 22, 1층 (노형동)"
남도맛집,제주특별자치도 제주시 한경면 명이2길 10
다합주택,"제주특별자치도 제주시 조천읍 함덕6길 5, 제1동 1층"
돔베돈,제주특별자치도 제주시 관덕로15길 25 (건입동)
우도래요,"제주특별자치도 제주시 우도면 우도해안길 360, 1층"
사쿠라,"제주특별자치도 제주시 우령2길 34, 2층 (외도일동)"
