사업장명,id
바신주쿠,1631616384
소림마라 신제주점,1636314986
아름푸드체인,0000
원조오막집국수,21428861
맵지,1475812957
은강,1435246450
뭉크,0000
정다운집,0000
밥정,1246686293
뒤뜰에한우,1784736441
렉스포켓클럽,0000
골프존파크타이틀연북로점,1237077812
나는강정적인사람입니다신제주점(튀지1985),0000
더동네,0000
원조우향해장국,1924993565
도향,1379898517
보편적인노래,1959429554
샐러드바스켓연동점,1920357262
폴레,1142968336
도도름,1826410542
모드니,0000
와우소문난감자탕,1993298199
크로방,1638349127
청춘다방,1914713206
옛날갈비찜,0000
뉴욕버거제주연동점,1565771047
다담찌개,1466541108
랜돌프비어제주연동점,1258386152
고기역,1075183239
굽네치킨한라초점,1587253944
삼춘네해장국,0000
ㅤㅊㅒㄴ씬마라탕,1204254796
카페이음새,1834468705
안,0000
도도름한우와흑돈,1675391442
야미,0000
모이라,1232987749
소못,1813957050
에이플러스,0000
깅코,1442461925
오늘김밥,1195651987
최고집,0000
제주가,1828458596
시리우스카페,0000
라테라스,0000
문희영해물아구찜2,0000
다올레횟집,1343637010
영갈분식,1179564439
조선화로집제주연북로점,1505195766
민들레소반,1888535900
순수한둠비연동점,1372290764
모네의화원,1127877832
온도70,1062001824
소소한밤,1211475342
1943제주연동점,1770074028
노가리앤비어연동점2호점,0000
화월랑,1256898546
썬더치킨제원점,1206780890
골드킹,1906781421
생활맥주제주연동점,1027992263
에이바우트연동신시가지점,1555365197
도쿄술집제주연동점,1023414817
금커피별빙수,0000
기고,0000
삼다참치,1711637772
집밥연구소,1346426258
지카페글로스터,0000
강국수,0000
사계진미숯불닭갈비제원점,0000
트룰리하우스,1680292431
원조큰맘할매순대국제주제원점,0000
맛있당돈까스제주본점,1260607078
돼갈통,1146800248
꼼빔,0000
머믈,1138267217
엉터리왕,0000
해방,1907191371
엠버스페이스,0000
치킨매니아연동노형점,1560346882
탐나는밥상,1906118805
참치정육점주주,0000
케무리,1331897586
주식회사조끄뜨레마트연동점,0000
홀덤라운지,0000
수목원길,1975398348
배떡연동점,1070232249
주식회사담을깨비방망이오리날개튀김,0000
제주닭꼬집,1437416367
단밤,0000
골드문,0000
스타루프탑라운지,0000
집으로배달삼겹,1730931415
한남1990,1648276530
제주안에,0000
만남포차,1896327885
종승호,1628984456
루프탑레오,1982706525
엄마순대국,1252711408
연동회관,1797916045
박군포차,0000
광양이조연동점,34433021
해봉이네동태마당,32041592
휘로,0000
우리집밥상,0000
빠빠,0000
집나간왕새우바람난조개연동점,0000
한라산산더미불고기,1622904467
티톡,1352758360
조마루뼈다귀연동점,1240307053
모나코,0000
담이자카야,636799948
별연동삼계탕,1228201621
땅땅치킨연동점,38228069
오래옥,16834614
브로콜리,1084490539
외양간,0000
말한마리가든,20179120
서은이네생고기,1446987105
오태식해바라기치킨,0000
수목원집밥,1330921857
대관원,16828918
영덕대게마을,16834243
삼무공원흑돼지,35251616
수미일관,1412665932
야미포차,1184001423
보잉747,1282547605
옛날깡통,1057244342
청춘열차,1451805412
오늘여기,0000
아르보,1574968390
선미정,1289232066
딸기가좋아신제주점,0000
정현이모,1218195599
제이라운지,1263703584
피치랑신제주점,1095132484
문송식당,1852599951
예일갈비,17011574
자매숯불,1316238694
망사리카페,1398892821
미보삿뽀로참치,1664227454
탑해장국앤돈가스,0000
소랑분식,1269325809
로미파스타,1715382361
대영한밥상,1693801282
할매옛날통닭,0000
킹콩홀덤펍,1953070919
양기원무인키즈팡팡카페,0000
딜리버리쿡연동점,0000
용우동신제주점,1560982318
연동포차,1624022757
베이스캠프제원점,1068888972
콘타이,0000
메가엠지씨커피제주남녕점,0000
한식의품격신제주점,1280738383
씨제이푸드빌 빕스제주점,0000
차달임,1117208517
충무로38양곱창제주점,1920765685
우리솥해장국,1797873393
써든스테이크,0000
아지국밥,0000
제원칼집별관,1137702496
엠박스제주,1236326004
제라진감자탕본점,0000
카페시도,1934699816
우리닭칼국수,0000
본초맘죽신제주점,0000
돈쫄돈신제주점,0000
제주연탄길,1770237112
부어치킨신제주점,0000
포비게러지,1209386486
하나손칼국수,0000
루,0000
플래닛제주,1049190960
헤이커피,1655314906
도리스,1589427594
본죽앤비빔밥신제주점,1363560632
풍년내장탕해장국,1013215898
킹콩부대찌개연동점,38766119
미풍해장국코스모스점,12010717
배떡노형점,1822435436
볼빨간아구찜신제주점,1742955853
203안전한먹거리연구소,0000
스칼렛가든,0000
다다참치,1407466472
펄호텔제주,13223452
담아래,1019478965
반도소관,1393653907
포텐,0000
라화쿵부제주점,1938415710
연동신도시식당,1423963818
민속감자탕,37067962
리얼,0000
이츠양,1924743428
효매식당,0000
화양양,1518784167
정식육백화점정유통,1068398819
탭탭,1093731052
김복남맥주제주연동점,1086377019
제대로떡볶이제원점,1679874506
봄날정육,1486579767
킹스,0000
그믐달,1199964968
퐁닭,1402372478
프랭크버거제주도청점,1269841229
영하45,1353322038
코모도,0000
ㅤㅅㅑㅍ,0000
머큐리,20702692
렛미인,0000
돈오름숯불갈비,37345209
유끼,33570859
대선,0000
락카페,0000
버무리떡볶이연동점,31462379
신영돌판구이,16834998
청년다방연동점,76362362
제주정곱창,1839097491
임사부국밥,1287175220
콧수염양꼬치,1588332009
더제이락푸드,0000
예산가마솥장수촌설렁탕신제주점,1936465108
에이프릴,0000
팜스테이블,1266699506
킹덤,0000
돌수산,36339071
썸카페,0000
아맛나찜닭제주점,1066889822
제주에살다컴퍼니,0000
우솔,0000
청담회장님댁제주점,1565467780
핵밥제주연동점,1863678935
신광호프,1453918784
술빛정원,1011978142
신대장군집,1719406755
청담피자신제주점,1234168700
지엔디카페,1662734204
호야네꼬마김밥,1490488268
장똘뱅이,1281852476
동근이숯불두마리치킨,0000
임돈,1415878398
우정곱창연동점,1183365375
그시절동태촌신제주점,1057612716
연동가자스크린골프,1149996523
카츠야미,0000
짜장볶는남자,0000
돈돼지국밥연동점,0000
김순례닭강정신제주점,1787039467
제쭈도,1226905225
너와나,0000
용용선생제주연동점,1238192624
판다마라집,0000
잭아레나,1085776456
퍼사이공제주점,1969828186
완미족발제주연동점,1124013432
도원꼬치튀김객,1026203087
하타나카연동점,1159569368
주식회사해마,0000
오봉집연동점,1861153225
파라나,1995911110
파사삭행목,1395472860
커피비원,1201212927
제주에타,1839418191
검은고래,1512642670
얼라이브,0000
스톤헤이븐,1093488595
인베이드피씨카페,1450057195
지에스25연동모디움점,1972642565
세븐일레븐연동국기점,1795173915
에스휴머물다,0000
공차제주연동신시가지점,1343964769
공차제주연동점,1165818613
홍요깃거리애월점,36369202
신제주마트휴게음식점,0000
길용당,1255403731
에이바우트커피신라신성점,1705993684
까미노,1395112894
씨유제주크라운점,16838990
누베커피1,0000
지에스25신제주점,16838947
지에스25연오로점,0000
호타르트,1660860958
세븐일레븐제주에어시티호텔점,1356181807
세븐일레븐제주연동중앙점,564763350
세븐일레븐제주연동청원점,21758588
호밀호두제주본점,1561941479
봄봄제원점,0000
지에스25제주연북점,37307960
지에스25제주남녕점,1008053534
인샵카페,426286269
삼성웰스토리(주)호텔신라제주면세점카페,0000
씨유신제주점,31021146
지에스25제주그랜드점,37308701
부림온천구내매점(남탕),0000
패밀리만두,36020332
브라운,0000
힐링쉴드제주점,0000
지에스25연동신광점,16838867
신,0000
명품,0000
곰브라더스제원점,0000
해피로피씨,0000
지에스25제주신대로점,32507104
파스쿠찌제주제원점,36026361
커피보그,31880471
빽다방제주제원점,37636220
나무,0000
파크사이드호텔구내,0000
짱구분식,0000
서희원꼬치닷컴,1206455896
가영케이크,0000
현대,0000
볕이드는곳벧디,1617309762
둘리분식,0000
롯데불가마사우나내찜질방스넥,0000
롯데불가마사우나내매점,0000
세븐일레븐제주가이아호텔점,31874248
씨유제주대림점,20328551
씨유제주한일시티점,36605883
그랜드김밥,1156807774
씨유제주연동중앙점,16839038
