사업장명,도로명전체주소,상세영업상태명
라뷰,"제주특별자치도 제주시 중앙로 114, 2층 (삼도이동)",영업
한림로555,"제주특별자치도 제주시 서광로30길 7, 1층 (이도이동)",영업
우주파,"제주특별자치도 제주시 탑동로 81, 1층 (삼도이동)",영업
굽당,"제주특별자치도 제주시 다랑곶2길 5, 1층 (노형동)",영업
30년할매닭발 한림점,"제주특별자치도 제주시 한림읍 한림로 690, 1층",영업
오례밥집,"제주특별자치도 제주시 조천읍 조천우회로 527, 202동 1층 102호 (에덴빌리지2차)",영업
어서우도,"제주특별자치도 제주시 우도면 우도해안길 1032, 1층",영업
미트서플라이,"제주특별자치도 제주시 조천읍 선교로 149, 제2동 1층",영업
소담키친,"제주특별자치도 제주시 애월읍 항몽로 34, 1층",영업
동문꼬마김밥,"제주특별자치도 제주시 동문로 18, 1층 (일도일동)",영업
동광회센타,"제주특별자치도 제주시 연삼로 544, 1층 (일도이동)",영업
오키니,"제주특별자치도 제주시 연화로2길 8, 1층 (연동)",영업
이로운술상,"제주특별자치도 제주시 조천읍 함덕16길 44, 1층",영업
새미언덕,"제주특별자치도 제주시 중산간동로 188-6, 1층 (회천동)",영업
역전할머니맥주일도점,"제주특별자치도 제주시 천수로9길 1, 1층 (일도이동, 그랑펠리스)",영업
제주그때그집한림협재점,"제주특별자치도 제주시 한림읍 한림로 591, 1층",영업
돈사돈월정점,"제주특별자치도 제주시 구좌읍 한동북1길 29-3, 1층",영업
너나들이민속주점,"제주특별자치도 제주시 구남로 38, 1층 (이도이동)",영업
애월돈가스집,"제주특별자치도 제주시 애월읍 애월로1길 26-8, 1층",영업
평산제면소,"제주특별자치도 제주시 한경면 두신로 42, 1층",영업
달세뇨아빠의레스토랑,"제주특별자치도 제주시 조천읍 함대로 520, 1층",영업
애월연어,"제주특별자치도 제주시 애월읍 하소로 660, 1층",영업
태하횟집,"제주특별자치도 제주시 동한두기길 31-2, 1,2층 (용담일동)",영업
노가리앤비어삼화지구점,"제주특별자치도 제주시 건주로4길 10-4, 1층 (도련일동)",영업
협재홀라인,"제주특별자치도 제주시 한림읍 한림로 197, 1층",영업
박대감,"제주특별자치도 제주시 중앙로2길 37, 1층 (삼도이동)",영업
노가리앤비어노형2호점,"제주특별자치도 제주시 수덕7길 21, 가동 1층 101호 (노형동)",영업
돈삼겹한라점,"제주특별자치도 제주시 연화로 51, 1층 (연동)",영업
한샘해장국본점,"제주특별자치도 제주시 아연로 195-1, 1층 (오라이동)",영업
태랑,"제주특별자치도 제주시 테우해안로 136, 1층 (이호일동)",영업
제주우드펍,"제주특별자치도 제주시 서해안로 348-1, 1층 (도두이동)",영업
브루클린,"제주특별자치도 제주시 애월읍 신엄연대길 30, 1층",영업
오족누와오과누,"제주특별자치도 제주시 신광로 103, 신제주오피스텔 1층 105호 (연동)",영업
곰돌이숯불갈비,"제주특별자치도 제주시 일주서로 7852, 1층 (연동)",영업
호야네집,"제주특별자치도 제주시 연화로1길 6-1, 1층 (연동)",영업
비자향,"제주특별자치도 제주시 구좌읍 비자림로 2270, 1층",영업
삼춘네정육식당,"제주특별자치도 제주시 화삼로1길 15, A동 2층 (화북일동)",영업
더회전훠궈,"제주특별자치도 제주시 노연로 55, 2층 (노형동)",영업
앙뚜아네트용두암점,"제주특별자치도 제주시 서해안로 671, 1층 (용담삼동)",영업
짝태앤노가리제주2호점,"제주특별자치도 제주시 원노형남1길 46, 1층 (노형동)",영업
세화바당,"제주특별자치도 제주시 구좌읍 세화1길 7, 1층",영업
파라디소,"제주특별자치도 제주시 전농로 75-1, 2층 (삼도이동)",영업
하효소머리국밥,"제주특별자치도 제주시 인다4길 4, 1층 (아라일동)",영업
맛깔참죽신제주점,"제주특별자치도 제주시 도령로 111, 1층 (연동, 진호뉴캐슬)",영업
돌담통닭,"제주특별자치도 제주시 구좌읍 해녀박물관길 33-1, 1층",영업
카페결,"제주특별자치도 제주시 우도면 하고수길 64, B동 1~2층",영업
땅땅치킨외도점,"제주특별자치도 제주시 우정로 52, 1층 (외도일동)",영업
월정해변식당,"제주특별자치도 제주시 구좌읍 월정1길 70-12, 1층",영업
옛날아우내순대,"제주특별자치도 제주시 애월읍 애월해안로 960, 1층",영업
환상숲곶자왈공원,"제주특별자치도 제주시 한경면 녹차분재로 594-1, 1층",영업
용궁반점,"제주특별자치도 제주시 한림읍 한림남2길 27, 1층 105호 (새한림맨션)",영업
미풍해장국일도베라체점,"제주특별자치도 제주시 연신로 89, 1층 (이도이동)",영업
카페조아,"제주특별자치도 제주시 연오로 39, 2층 (오라삼동)",영업
보리수카페,"제주특별자치도 제주시 동문로 31, 2층 (일도일동)",영업
카페보리다,"제주특별자치도 제주시 오복1길 17, 1층 100호 (이도이동, 스마트빌라)",영업
에머이제주점,"제주특별자치도 제주시 인다3길 8-2, 2층 (아라일동)",영업
삼생이심야식당,"제주특별자치도 제주시 남성로 99, 1층 (용담일동)",영업
우도돌담집,"제주특별자치도 제주시 우도면 우도해안길 472, 1층",영업
월령작야,"제주특별자치도 제주시 한림읍 월령3길 39-5, 지하1층",영업
대독장제주본점,"제주특별자치도 제주시 연북로 212, 1층 (오라이동)",영업
똥광,"제주특별자치도 제주시 신대로19길 13-1, 1층 (연동)",영업
라몽,"제주특별자치도 제주시 다랑곶6길 38, 1층 (노형동)",영업
쟁반정식연화,"제주특별자치도 제주시 한경면 중산간서로 3678, 1층",영업
명희식당,"제주특별자치도 제주시 한경면 녹차분재로 626, 1층",영업
더로그,"제주특별자치도 제주시 산천단동3길 26, 1,2층 (아라일동)",영업
노랑통닭노형점,"제주특별자치도 제주시 한라대학로 81, 유유빌 1층 (노형동)",영업
미혜네,"제주특별자치도 제주시 원노형6길 11-5, 1층 (노형동)",영업
소북경,"제주특별자치도 제주시 원노형로 54, 3층 (노형동)",영업
도련한우식육식당,"제주특별자치도 제주시 삼봉로 211, 1층 (도련일동)",영업
제주밥상살레,"제주특별자치도 제주시 한림읍 금능4길 14-1, 1층",영업
오빠네해물라면,"제주특별자치도 제주시 한림읍 한림로 475, 지하1층",영업
옹포다방,"제주특별자치도 제주시 한림읍 한림로 485-4, 1층",영업
주민상회애월점,"제주특별자치도 제주시 애월읍 애원로 5, 1층",영업
펍아지트,"제주특별자치도 제주시 조천읍 신북로 643, 1층",영업
