사업장명,도로명전체주소
뜰,"제주특별자치도 제주시 신광로6길 25, 106호 (연동)"
모임터,"제주특별자치도 제주시 성신북길 30 (연동,(성신9로11))"
바다예찬,"제주특별자치도 제주시 귀아랑길 26, 1층 (연동)"
처음처럼,제주특별자치도 제주시 연동4길 12 (연동)
스페샬연동점,제주특별자치도 제주시 신대로14길 42 (연동)
달빛사랑채,제주특별자치도 제주시 연동4길 6-2 (연동)
삼다정,"제주특별자치도 제주시 노연로 80 (연동,(1층))"
소영,제주특별자치도 제주시 삼무로9길 16 (연동)
거부,제주특별자치도 제주시 제원4길 3 (연동)
(주)지앤엘(중식),"제주특별자치도 제주시 삼무로 67, 2층 (연동)"
문화정식,"제주특별자치도 제주시 문연로 35, 1층 (연동, MBC문화방송국)"
탐라요정신제주점,"제주특별자치도 제주시 연동7길 31, 2층 (연동)"
세안아구찜,"제주특별자치도 제주시 신대로20길 12 (연동,(사장4로16))"
시골길,"제주특별자치도 제주시 연동13길 9 (연동,(은남2로13))"
막창,"제주특별자치도 제주시 연동9길 29 (연동,(은남4로20))"
사나포차연동점,제주특별자치도 제주시 연동8길 21 (연동)
고니,제주특별자치도 제주시 신대로 119 (연동)
강명선샤브샤브,제주특별자치도 제주시 귀아랑길 14 (연동)
토석민속주점,"제주특별자치도 제주시 남녕로6길 3, 1층 (연동)"
송탄부대찌개집,제주특별자치도 제주시 신대로12길 11 (연동)
참맛나흑돼지,제주특별자치도 제주시 신대로8길 29 (연동)
신화파전,제주특별자치도 제주시 신대로14길 49 (연동)
족발신선생제주점,"제주특별자치도 제주시 신대로8길 30, 1층 (연동)"
수목원,"제주특별자치도 제주시 연화로 57 (연동,(과원1로35))"
인생과삶,"제주특별자치도 제주시 신광로10길 29, 지하1층 (연동)"
노형섬마을,제주특별자치도 제주시 신광로10길 17 (연동)
닭가대표연동점,제주특별자치도 제주시 은남3길 1 (연동)
화룡양꼬치,제주특별자치도 제주시 신대로16길 40 (연동)
오월수산장어집,제주특별자치도 제주시 신대로12길 35 (연동)
독도는우리땅,제주특별자치도 제주시 은남길 30 (연동)
나니와,제주특별자치도 제주시 연동3길 36 (연동)
돈앤삼겹,제주특별자치도 제주시 남녕로6길 3 (연동)
삼무삼계탕,제주특별자치도 제주시 신대로10길 55 (연동)
청호정,제주특별자치도 제주시 신대로10길 10 (연동)
로당연동점,"제주특별자치도 제주시 신대로16길 47, 1층 (연동)"
국민닭발,"제주특별자치도 제주시 연동13길 9 (연동,(은남2로13))"
전라도식당,제주특별자치도 제주시 신광로 75 (연동)
비비큐신제주연동점,"제주특별자치도 제주시 신대로20길 34, 1층 (연동)"
미선이네포차,"제주특별자치도 제주시 신광로10길 30, 2층 (연동)"
웬두루치기,제주특별자치도 제주시 제원길 3 (연동)
금화정육식당,제주특별자치도 제주시 도령로11길 23 (연동)
(주)지앤엘(경양식),제주특별자치도 제주시 삼무로 67 (연동)
연예인,제주특별자치도 제주시 삼무로11길 36 (연동)
재벌,"제주특별자치도 제주시 도령로7길 20 (연동,신광아파트106호(성신4로9))"
올레풍경,"제주특별자치도 제주시 신대로 123 (연동,(신대로95))"
해품돈연동본점,"제주특별자치도 제주시 신광로 75, 1층 (연동)"
앞뱅디,제주특별자치도 제주시 선덕로 32 (연동)
오라,"제주특별자치도 제주시 아연로 22, 1층 (연동)"
바다양푼이동태탕제주연동점,제주특별자치도 제주시 은남3길 31 (연동)
또장군,"제주특별자치도 제주시 신대로10길 32 (연동,(성두4로46))"
곰돌,제주특별자치도 제주시 연동1길 10 (연동)
양촌,"제주특별자치도 제주시 연동1길 10 (연동,(연제3로14))"
